block_id,block_start,block_end,block_duration_h,capacity_price_input_unit,capacity_price_raw,capacity_price_EUR_per_MW_h,missing_capacity_price_flag,price_inconsistency_flag,number_of_timesteps,capacity_pricing_rule,opportunity_cost_EUR_per_MW_h,capacity_bid_price_EUR_per_MW_h,capacity_clearing_price_EUR_per_MW_h,capacity_settlement_price_EUR_per_MW_h,activation_expected,capacity_profitable,activation_profitable,technically_feasible,bid_eligible,activation_steps,price_fail_steps,missing_price_steps,min_price_margin_EUR_per_MWh,peak_activation_MW,technical_capacity_MW,compliant_capacity_MW,bid_increment_MW,reserved_capacity_MW,capacity_revenue_EUR,capacity_opportunity_cost_EUR,capacity_market_surplus_EUR,capacity_net_value_EUR,charge_headroom_MW,storage_headroom_MW,activated_energy_MWh,activation_cost_EUR
2025-05-15_00:00_04:00,2025-05-15 00:00:00+02:00,2025-05-15 04:00:00+02:00,4.0,EUR_per_MW_per_h,12.58,12.58,False,False,16,pay_as_bid,0.0,12.58,12.58,12.58,True,True,False,True,False,11,8,0,-30.569035294117654,341.792,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,200.43432245713234,7.5,244.52499999999998
2025-05-15_04:00_08:00,2025-05-15 04:00:00+02:00,2025-05-15 08:00:00+02:00,4.0,EUR_per_MW_per_h,7.0,7.0,False,False,16,pay_as_bid,0.0,7.0,7.0,7.0,True,True,False,True,False,13,9,0,-37.46903529411763,463.192,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,200.01835552126562,7.5,297.95
2025-05-15_08:00_12:00,2025-05-15 08:00:00+02:00,2025-05-15 12:00:00+02:00,4.0,EUR_per_MW_per_h,296.07,296.07,False,False,16,pay_as_bid,24.18048235294118,296.07,296.07,296.07,True,True,False,True,False,16,2,0,-20.42903529411764,317.264,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,188.9731321030761,0.0,0.0
2025-05-15_12:00_16:00,2025-05-15 12:00:00+02:00,2025-05-15 16:00:00+02:00,4.0,EUR_per_MW_per_h,1597.12,1597.12,False,False,16,pay_as_bid,60.76096470588236,1597.12,1597.12,1597.12,True,True,True,True,True,16,0,0,39.40096470588236,432.384,10.0,10.0,1.0,10.0,63884.799999999996,2430.4385882352944,0.0,61454.3614117647,10.0,177.96936051326895,40.0,-47.774999999999984
2025-05-15_16:00_20:00,2025-05-15 16:00:00+02:00,2025-05-15 20:00:00+02:00,4.0,EUR_per_MW_per_h,290.0,290.0,False,False,16,pay_as_bid,24.49798235294118,290.0,290.0,290.0,True,True,False,True,False,14,6,4,-27.70903529411764,309.58,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,174.94110102478672,14.374,187.2408
2025-05-15_20:00_00:00,2025-05-15 20:00:00+02:00,2025-05-16 00:00:00+02:00,4.0,EUR_per_MW_per_h,4.6,4.6,False,False,16,pay_as_bid,0.0,4.6,4.6,4.6,True,True,False,True,False,15,3,1,-78.48903529411764,589.412,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,193.6208165323763,24.938,858.19296
2025-05-16_00:00_04:00,2025-05-16 00:00:00+02:00,2025-05-16 04:00:00+02:00,4.0,EUR_per_MW_per_h,7.78,7.78,False,False,16,pay_as_bid,0.0,7.78,7.78,7.78,True,True,False,True,False,10,9,1,-31.18903529411763,66.748,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,202.86555859457184,2.5,124.525
2025-05-16_04:00_08:00,2025-05-16 04:00:00+02:00,2025-05-16 08:00:00+02:00,4.0,EUR_per_MW_per_h,4.83,4.83,False,False,16,pay_as_bid,0.0,4.83,4.83,4.83,True,True,False,True,False,7,4,0,-31.279035294117634,143.888,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,202.04948611403324,5.0,180.89999999999998
2025-05-16_08:00_12:00,2025-05-16 08:00:00+02:00,2025-05-16 12:00:00+02:00,4.0,EUR_per_MW_per_h,119.75,119.75,False,False,16,pay_as_bid,22.530482352941178,119.75,119.75,119.75,True,True,True,True,True,13,0,0,14.690964705882365,415.412,10.0,10.0,1.0,10.0,4790.0,901.2192941176471,0.0,3888.780705882353,10.0,196.71128158170558,30.069,-4.596519999999995
2025-05-16_12:00_16:00,2025-05-16 12:00:00+02:00,2025-05-16 16:00:00+02:00,4.0,EUR_per_MW_per_h,246.13,246.13,False,False,16,pay_as_bid,52.28096470588236,246.13,246.13,246.13,True,True,False,True,False,11,1,0,-34.99903529411763,499.988,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,194.53596705216992,2.5,60.575
