Hour;T2
3974;28,58550795
3975;28,58550795
3976;28,58550795
3977;28,58550795
3978;28,58550795
3979;28,58550795
3980;28,58550795
3981;28,58550795
3982;28,58550795
3983;28,58550795
3984;28,58550795
3985;20,07808611
3986;20,07808611
3987;20,07808611
3988;20,07808611
3989;20,07808611
3990;20,07808611
3991;20,07808611
3992;85,53264683
3993;96,22422768
3994;106,9158085
3995;106,9158085
3996;128,2989702
3997;128,2989702
3998;85,53264683
3999;128,2989702
4000;128,2989702
4001;74,84106598
4002;21,38316171
4003;21,08199042
4004;21,08199042
4005;21,08199042
4006;21,08199042
4007;21,08199042
4008;21,08199042
4009;13,44891998
4010;20,49359235
4011;20,49359235
4012;20,49359235
4013;20,49359235
4014;20,49359235
4015;20,49359235
4016;86,39330026
4017;96,39673503
4018;106,4001698
4019;106,4001698
4020;127,3164425
4021;127,3164425
4022;84,57449394
4023;127,3164425
4024;127,3164425
4025;75,02576075
4026;32,02123805
4027;21,13401711
4028;21,13401711
4029;21,13401711
4030;21,13401711
4031;21,13401711
4032;21,13401711
4033;20,69588375
4034;20,69588375
4035;20,69588375
4036;20,69588375
4037;20,69588375
4038;20,69588375
4039;20,69588375
4040;84,60226418
4041;94,39831582
4042;104,1943675
4043;104,1943675
4044;124,6770209
4045;124,6770209
4046;82,82116388
4047;124,6770209
4048;124,6770209
4049;73,47038732
4050;31,35739962
4051;20,69588375
4052;20,69588375
4053;20,69588375
4054;20,69588375
4055;20,69588375
4056;20,69588375
4057;20,32146854
4058;20,32146854
4059;20,32146854
4060;20,32146854
4061;20,32146854
4062;20,32146854
4063;20,32146854
4064;83,07170016
4065;92,6905286
4066;102,309357
4067;102,309357
4068;122,4214529
4069;122,4214529
4070;81,32282227
4071;122,4214529
4072;122,4214529
4073;72,1412133
4074;30,79010384
4075;20,32146854
4076;20,32146854
4077;20,32146854
4078;20,32146854
4079;20,32146854
4080;20,32146854
4081;30,41641354
4082;18,43419002
4083;18,43419002
4084;18,43419002
4085;18,43419002
4086;18,43419002
4087;18,43419002
4088;78,5296495
4089;98,16206187
4090;107,9782681
4091;107,9782681
