block_id,block_start,block_end,block_duration_h,capacity_price_EUR_per_MW_h,missing_capacity_price_flag,price_inconsistency_flag,number_of_timesteps,opportunity_cost_EUR_per_MW_h,activation_expected,capacity_profitable,activation_profitable,technically_feasible,bid_eligible,activation_steps,price_fail_steps,missing_price_steps,min_price_margin_EUR_per_MWh,peak_activation_MW,technical_capacity_MW,compliant_capacity_MW,bid_increment_MW,reserved_capacity_MW,capacity_revenue_EUR,charge_headroom_MW,storage_headroom_MW,activated_energy_MWh,activation_cost_EUR
2025-04-24_16:00_20:00,2025-04-24 16:00:00+02:00,2025-04-24 20:00:00+02:00,4.0,9.25,False,False,16,0.0,True,True,False,True,False,6,6,0,-148.77764705882353,2.648,16.0,16.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
2025-04-24_20:00_00:00,2025-04-24 20:00:00+02:00,2025-04-25 00:00:00+02:00,4.0,1.19,False,False,16,0.0,True,True,False,True,False,10,10,1,-171.05764705882353,1.616,16.0,16.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
2025-04-25_00:00_04:00,2025-04-25 00:00:00+02:00,2025-04-25 04:00:00+02:00,4.0,2.7,False,False,16,0.0,True,True,False,True,False,9,9,2,-110.47764705882355,7.032,16.0,16.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
2025-04-25_04:00_08:00,2025-04-25 04:00:00+02:00,2025-04-25 08:00:00+02:00,4.0,2.82,False,False,16,0.0,True,True,False,True,False,7,7,0,-137.56764705882352,5.492,16.0,16.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
2025-04-25_08:00_12:00,2025-04-25 08:00:00+02:00,2025-04-25 12:00:00+02:00,4.0,11.45,False,False,16,0.0,True,True,False,True,False,10,10,1,-100.74764705882353,118.768,16.0,16.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
2025-04-25_12:00_16:00,2025-04-25 12:00:00+02:00,2025-04-25 16:00:00+02:00,4.0,26.98,False,False,16,0.0,True,True,False,True,False,13,13,1,-69.41764705882355,240.448,16.0,16.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
2025-04-25_16:00_20:00,2025-04-25 16:00:00+02:00,2025-04-25 20:00:00+02:00,4.0,8.03,False,False,16,0.0,True,True,False,True,False,11,11,0,-118.98764705882354,1.692,16.0,16.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
2025-04-25_20:00_00:00,2025-04-25 20:00:00+02:00,2025-04-26 00:00:00+02:00,4.0,1.1,False,False,16,0.0,True,True,False,True,False,7,7,0,-114.47764705882355,49.46,16.0,16.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
2025-04-26_00:00_04:00,2025-04-26 00:00:00+02:00,2025-04-26 04:00:00+02:00,4.0,2.48,False,False,16,0.0,True,True,False,True,False,9,9,0,-96.14764705882354,32.548,16.0,16.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
2025-04-26_04:00_08:00,2025-04-26 04:00:00+02:00,2025-04-26 08:00:00+02:00,4.0,2.92,False,False,16,0.0,True,True,False,True,False,6,6,1,-98.20764705882354,16.504,16.0,16.0,1.0,0.0,0.0,16.0,336.8421052631579,0.0,0.0
